rule_id;base_type;carrier;purpose;position;features;genart_id;note
ENG-MOUNT;MOUNT;;ENGINE;;;247;
AUX-TANK;TANK;;;;AUXILIARY;397;
BUMPER-BLADE;BLADE;BUMPER;;;;845;Bumper blade/spoiler
BUMPER;BUMPER;;;;;938;
FENDER-INST-KIT;FENDER;;;;INSTALLATION;3716;Mounting kit, wing/fender (installation kit)
INNER-FENDER;FENDER;;;INNER;;1560;
FENDER-REAR;FENDER;;;REAR;;901;
FENDER;FENDER;;;;;449;
HOOD;HOOD;;;;;531;
TAILGATE;TAILGATE;;;;;390;
DOOR;DOOR;;;;;530;
PANEL-REAR;PANEL;;;REAR;;389;
PANEL-FRONT;PANEL;;;FRONT;;208;
APRON-FRONT;APRON;;;FRONT;;208;Front panel/apron
SIDELAMP;;;;;SIDELAMP;900;
TANK-WASHER;TANK;;WASHER;;;837;
AIRDUCT;AIRDUCT;;;;;60987;
AIR-GUARD;AIR;;AIR;;;60987;Air guide/duct (front guard air)
SIDE-MARKER;;;;REAR SIDE;;900;Side/rear marker light (last-resort, position=REAR SIDE)
INDICATOR-LAMP;;;;;INDICATOR;62;Direction indicator (last-resort, feature=INDICATOR)
