GenArtNo;genart_en;standardised_article_description;assembly_groups;purpose_of_use;Delete
9014;Connection Piece, injector nozzle test device;Connection Piece;Tool, universal;Injector Nozzle Tester;0
9015;Reservoir, injector nozzle test device;Tank;Tool, universal;Injector Nozzle Tester;0
9016;Sensor, level control;Sensor;Suspension/Damping;Level Control;0
9017;Seal, transmission output shaft (man. trans.);Gasket/Seal;Manual Transmission;Transmission Output Shaft (manual transmission);0
9018;Shaft Seal Set, crankshaft;Seal Ring Set;Crankshaft Drive;Crankshaft;0
9019;Seal, trans. output shaft (automatic transmission);Gasket/Seal;Automatic Transmission;Transmission Output Shaft (automatic transmission);0
9020;Seal, trans. input shaft (manual transmission);Gasket/Seal;Manual Transmission;Transmission Input Shaft (manual transmission);0
9021;Bearing, transmission output shaft (transfer case);Bearing;Axle Drive;Transmission Output Shaft (transfer case);0
9022;Sensor, charge air temperature;Sensor;Mixture Formation;Charge Air Temperature;0
9023;Seal, transmission output shaft (transfer case);Gasket/Seal;Axle Drive;Transmission Output Shaft (transfer case);0
9024;Jet Gauge Set, fuel jet;Jet Gauge Set;Tool, universal;Fuel Jet;0
9025;Mounting Wedge Set;Mounting Wedge Set;Tool, vehicle specific;NULL;0
9026;Open-Ended Spanner Set;Open-Ended Spanner Set;Tool, universal;NULL;0
9027;Cable Repair Set, series resistor (air conditioning blower);Cable Repair Set;Air Conditioning;Series Resistor (air conditioning blower);0
9028;Puller Set, cylinder liner;Puller Set;Tool, vehicle specific;Cylinder Liner;0
9029;Pull-Piece, riveting pliers;Pull-Piece;Tool, universal;NULL;0
9030;Eccentric Bush, steering knuckle;Bush;Wheel Suspension;Steering Knuckle Eccentric Bushing;0
9031;Differential Lock Module;Differential Lock Module;Axle Drive;NULL;0
9032;Trim Pry Tool;Trim Pry Tool;Tool, universal;NULL;0
9033;Cable Repair Kit, alternator regulator;Cable Repair Set;Alternator;Alternator Regulator;0
9034;Trim Pry Tool Set;Trim Pry Tool Set;Tool, universal;NULL;0
9035;Bulb Socket, side marker lights;Bulb Socket;Lights;Side Marker Light;0
9036;Guide Bush, glow plug removal tool;Guide Bush;Tool, universal;Glow Plug Removal Tool;0
9037;RPM Sensor, trans. output shaft (auto. trans.);Sensor;Automatic Transmission;Transmission Output Shaft (automatic transmission);0
9038;Bearing, differential housing;Bearing;Axle Drive;Differential Housing;0
9039;Sealing Ring, worm shaft (steering gear);Seal Ring;Steering;Worm Shaft (steering gear);0
9040;Pulling Pin, glow plug removal tool;Pulling Pin;Tool, universal;Glow Plug Removal Tool;0
9041;Rocker Arm Pin;Bolt;Engine Timing;Rocker Arm Pin;0
9042;Relay, ignition system;Relay;Ignition System;Ignition System;0
9043;Rocker Arm Ball;Rocker Arm Ball;Engine Timing;NULL;0
9044;Assortment, insulating tape;Assortment;Electric Universal Parts;NULL;0
9045;Socket Wrench Insert, injection pump;Socket Wrench Insert;Tool, vehicle specific;Injection Pump;0
